corpus_id,genre,industry_label,experiment,n_rows,recall_at_5,recall_at_5_n_nan,citation_hallucination,citation_hallucination_n_nan,gold_chunk_cited,gold_chunk_cited_n_nan,context_hallucination,context_hallucination_n_nan,claim_level_hallucination_rate,claim_level_hallucination_rate_n_nan,faithfulness,faithfulness_n_nan,answer_relevancy,answer_relevancy_n_nan,answer_correctness,answer_correctness_n_nan
nvidia10k2026,finance_10k,Finance (10-K),baseline,10,1.0,0,0.0,0,1.0,0,0.1,0,0.05,0,0.9527777777777778,0,0.8542369214790202,0,0.7824139834910548,0
nvidia10k2026,finance_10k,Finance (10-K),k3,10,0.9,0,0.0,0,0.9,0,0.1,0,0.05555555555555555,1,0.9,0,0.6585870100296345,0,0.7606793335280189,0
nvidia10k2026,finance_10k,Finance (10-K),k8,10,1.0,0,0.0,0,1.0,0,0.1,0,0.05,0,0.975,0,0.8088188403003468,0,0.7887901659484129,0
nvidia10k2026,finance_10k,Finance (10-K),k10,10,1.0,0,0.0,0,1.0,0,0.1,0,0.03333333333333333,0,1.0,0,0.8623061266304625,0,0.7675757741992386,0
nvidia10k2026,finance_10k,Finance (10-K),baseline_cot,10,1.0,0,0.0,0,1.0,0,0.1,0,0.025,0,0.9866666666666667,0,0.8777938638103582,0,0.7789728751836628,0
nvidia10k2026,finance_10k,Finance (10-K),baseline_strict_cite,10,1.0,0,0.0,0,1.0,0,0.1,0,0.05,0,0.915909090909091,0,0.7732515975174712,0,0.7934744989166284,0
nvidia10k2026,finance_10k,Finance (10-K),k8_cot,10,1.0,0,0.2,0,0.9,0,0.1,0,0.05,0,1.0,0,0.8695539313176835,0,0.7524742856825688,0
jpm10k2025,finance_10k,Finance (10-K),baseline,10,0.7,0,0.0,0,0.5,0,0.2,0,0.125,2,0.5916666666666666,0,0.6835452944902383,0,0.6514298337456367,0
jpm10k2025,finance_10k,Finance (10-K),k3,10,0.7,0,0.0,0,0.5,0,0.1,0,0.041666666666666664,2,0.7749999999999999,0,0.6632003753149275,0,0.6703539581416214,0
jpm10k2025,finance_10k,Finance (10-K),k8,10,0.8,0,0.0,0,0.6,0,0.1,0,0.03125,2,0.6799999999999999,0,0.6844571250207105,0,0.594043455381738,0
jpm10k2025,finance_10k,Finance (10-K),k10,10,0.8,0,0.0,0,0.6,0,0.1,0,0.03125,2,0.6583333333333333,0,0.6529689810998531,0,0.6576164076306448,0
jpm10k2025,finance_10k,Finance (10-K),baseline_cot,10,0.7,0,0.0,0,0.6,0,0.1,0,0.075,0,0.9222222222222222,0,0.8536937724376349,0,0.5873050147389326,0
jpm10k2025,finance_10k,Finance (10-K),baseline_strict_cite,10,0.7,0,0.0,0,0.5,0,0.2,0,0.125,2,0.655,0,0.6850284867283104,0,0.6343428052039866,0
jpm10k2025,finance_10k,Finance (10-K),k8_cot,10,0.8,0,0.0,0,0.7,0,0.2,0,0.06999999999999999,0,0.7892063492063492,0,0.8554431810687018,0,0.6153272316025202,0
humira_label,fda_label,Healthcare (FDA label),baseline,10,0.7,0,0.0,0,0.7,0,0.2,0,0.1875,2,0.85,0,0.651395717346986,0,0.6802738730949807,0
humira_label,fda_label,Healthcare (FDA label),k3,10,0.7,0,0.0,0,0.7,0,0.0,0,0.0,3,0.75,0,0.6023410956889659,0,0.6605374853625937,0
humira_label,fda_label,Healthcare (FDA label),k8,10,0.7,0,0.0,0,0.6,0,0.2,0,0.25,2,0.7666666666666666,0,0.6718166008795927,0,0.6341590497310408,0
humira_label,fda_label,Healthcare (FDA label),k10,10,0.7,0,0.0,0,0.6,0,0.1,0,0.0625,2,0.7666666666666666,0,0.6718926115072203,0,0.6419202902453657,0
humira_label,fda_label,Healthcare (FDA label),baseline_cot,10,0.7,0,0.0,0,0.7,0,0.1,0,0.06666666666666667,1,0.8400000000000001,0,0.7587942858527047,0,0.6271219547436632,0
humira_label,fda_label,Healthcare (FDA label),baseline_strict_cite,10,0.7,0,0.0,0,0.7,0,0.2,0,0.25,2,0.8333333333333333,0,0.6527589560413019,0,0.6830489907936366,0
humira_label,fda_label,Healthcare (FDA label),k8_cot,10,0.7,0,0.1,0,0.6,0,0.1,0,0.025,0,0.75,0,0.8649955597940469,0,0.7037668355150859,0
keytruda_label,fda_label,Healthcare (FDA label),baseline,10,0.6,0,0.0,0,0.5,0,0.0,0,0.0,3,0.7466666666666667,0,0.6311824286877301,0,0.6561026505095084,0
keytruda_label,fda_label,Healthcare (FDA label),k3,10,0.6,0,0.0,0,0.5,0,0.0,0,0.0,4,0.6466666666666667,0,0.5436591065567957,0,0.577705737989188,0
keytruda_label,fda_label,Healthcare (FDA label),k8,10,0.8,0,0.0,0,0.7,0,0.1,0,0.037037037037037035,1,0.8216666666666667,0,0.8254114026398186,0,0.8244332340316879,0
keytruda_label,fda_label,Healthcare (FDA label),k10,10,0.8,0,0.0,0,0.6,0,0.1111111111111111,1,0.047619047619047616,3,0.8466666666666667,0,0.7270272339001322,0,0.7658862185361728,0
keytruda_label,fda_label,Healthcare (FDA label),baseline_cot,10,0.6,0,0.0,0,0.6,0,0.2,0,0.16666666666666666,1,0.7833333333333334,0,0.7132693520271248,0,0.7130402051248501,0
keytruda_label,fda_label,Healthcare (FDA label),baseline_strict_cite,10,0.6,0,0.0,0,0.5,0,0.0,0,0.0,4,0.75,0,0.5508592443961806,0,0.5628841012731952,0
keytruda_label,fda_label,Healthcare (FDA label),k8_cot,10,0.8,0,0.0,0,0.8,0,0.2,0,0.15,0,0.919047619047619,0,0.8544283173550286,0,0.8015070841833541,0
