corpus_id,genre,industry_label,experiment,delta_recall_at_5,delta_citation_hallucination,delta_gold_chunk_cited,delta_context_hallucination,delta_claim_level_hallucination_rate,delta_faithfulness,delta_answer_relevancy,delta_answer_correctness
nvidia10k2026,finance_10k,Finance (10-K),k3,-0.09999999999999998,0.0,-0.09999999999999998,0.0,0.00555555555555555,-0.05277777777777781,-0.1956499114493857,-0.02173464996303598
nvidia10k2026,finance_10k,Finance (10-K),k8,0.0,0.0,0.0,0.0,0.0,0.022222222222222143,-0.04541808117867341,0.006376182457358048
nvidia10k2026,finance_10k,Finance (10-K),k10,0.0,0.0,0.0,0.0,-0.01666666666666667,0.047222222222222165,0.008069205151442271,-0.014838209291816229
nvidia10k2026,finance_10k,Finance (10-K),baseline_cot,0.0,0.0,0.0,0.0,-0.025,0.03388888888888886,0.023556942331337982,-0.0034411083073920823
nvidia10k2026,finance_10k,Finance (10-K),baseline_strict_cite,0.0,0.0,0.0,0.0,0.0,-0.03686868686868683,-0.080985323961549,0.011060515425573514
nvidia10k2026,finance_10k,Finance (10-K),k8_cot,0.0,0.2,-0.09999999999999998,0.0,0.0,0.047222222222222165,0.015317009838663354,-0.029939697808486043
jpm10k2025,finance_10k,Finance (10-K),k3,0.0,0.0,0.0,-0.1,-0.08333333333333334,0.18333333333333335,-0.020344919175310783,0.018924124395984676
jpm10k2025,finance_10k,Finance (10-K),k8,0.10000000000000009,0.0,0.09999999999999998,-0.1,-0.09375,0.08833333333333337,0.0009118305304722796,-0.057386378363898705
jpm10k2025,finance_10k,Finance (10-K),k10,0.10000000000000009,0.0,0.09999999999999998,-0.1,-0.09375,0.06666666666666676,-0.030576313390385135,0.006186573885008095
jpm10k2025,finance_10k,Finance (10-K),baseline_cot,0.0,0.0,0.09999999999999998,-0.1,-0.05,0.3305555555555556,0.17014847794739663,-0.06412481900670408
jpm10k2025,finance_10k,Finance (10-K),baseline_strict_cite,0.0,0.0,0.0,0.0,0.0,0.06333333333333346,0.0014831922380721396,-0.017087028541650118
jpm10k2025,finance_10k,Finance (10-K),k8_cot,0.10000000000000009,0.0,0.19999999999999996,0.0,-0.05500000000000001,0.19753968253968268,0.1718978865784635,-0.03610260214311645
humira_label,fda_label,Healthcare (FDA label),k3,0.0,0.0,0.0,-0.2,-0.1875,-0.09999999999999998,-0.0490546216580201,-0.01973638773238695
humira_label,fda_label,Healthcare (FDA label),k8,0.0,0.0,-0.09999999999999998,0.0,0.0625,-0.08333333333333337,0.020420883532606737,-0.046114823363939905
humira_label,fda_label,Healthcare (FDA label),k10,0.0,0.0,-0.09999999999999998,-0.1,-0.125,-0.08333333333333337,0.02049689416023437,-0.03835358284961499
humira_label,fda_label,Healthcare (FDA label),baseline_cot,0.0,0.0,0.0,-0.1,-0.12083333333333333,-0.009999999999999898,0.10739856850571872,-0.053151918351317495
humira_label,fda_label,Healthcare (FDA label),baseline_strict_cite,0.0,0.0,0.0,0.0,0.0625,-0.01666666666666672,0.0013632386943158714,0.0027751176986559045
humira_label,fda_label,Healthcare (FDA label),k8_cot,0.0,0.1,-0.09999999999999998,-0.1,-0.1625,-0.09999999999999998,0.21359984244706087,0.023492962420105235
keytruda_label,fda_label,Healthcare (FDA label),k3,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.08752332213093439,-0.07839691252032044
keytruda_label,fda_label,Healthcare (FDA label),k8,0.20000000000000007,0.0,0.19999999999999996,0.1,0.037037037037037035,0.07499999999999996,0.1942289739520885,0.16833058352217944
keytruda_label,fda_label,Healthcare (FDA label),k10,0.20000000000000007,0.0,0.09999999999999998,0.1111111111111111,0.047619047619047616,0.09999999999999998,0.09584480521240213,0.10978356802666434
keytruda_label,fda_label,Healthcare (FDA label),baseline_cot,0.0,0.0,0.09999999999999998,0.2,0.16666666666666666,0.036666666666666736,0.08208692333939471,0.05693755461534167
keytruda_label,fda_label,Healthcare (FDA label),baseline_strict_cite,0.0,0.0,0.0,0.0,0.0,0.0033333333333332993,-0.0803231842915495,-0.09321854923631323
keytruda_label,fda_label,Healthcare (FDA label),k8_cot,0.20000000000000007,0.0,0.30000000000000004,0.2,0.15,0.1723809523809523,0.22324588866729844,0.1454044336738457
